,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
2005-01-01 00:00:00,13.599,117.054,126.301,484.0,6.48,123.533,126.301,3.12,81.459,22.208,86.956,112.73,17.971,19.96,57.339,25.121,27.083,173.648,65.506,67.813,1758.1820000000002
2005-01-01 01:00:00,13.178,112.791,121.702,443.0,6.194,118.986,121.702,2.918,81.354,21.227,82.018,105.182,16.891,19.028,54.627,23.584,26.346,166.863,61.806,64.936,1664.333
2005-01-01 02:00:00,12.69,109.221,117.85,406.0,5.944,115.165,117.85,2.84,80.955,20.481,78.145,99.006,16.001,18.249,52.769,22.536,25.68,162.338,58.759,63.222,1585.701
2005-01-01 03:00:00,12.577,107.745,116.258,389.0,5.944,113.689,116.258,2.833,75.39,20.025,76.674,96.818,15.601,17.943,51.892,22.679,25.211,163.595,58.443,62.794,1551.369
2005-01-01 04:00:00,12.853,110.073,118.768,420.0,6.191,116.264,118.768,2.962,69.951,19.859,77.374,97.243,15.834,18.05,52.656,23.483,25.464,167.662,59.382,64.427,1597.264
2005-01-01 05:00:00,13.654,112.189,121.052,432.0,6.517,118.706,121.052,3.068,69.783,20.253,79.884,100.272,14.851,16.922,49.119,22.979,25.658,164.98,56.511,62.364,1611.814
2005-01-01 06:00:00,14.605,117.387,126.66,458.0,6.998,124.384,126.66,3.188,69.846,21.028,84.098,105.137,15.723,17.957,51.672,24.807,25.972,171.967,59.796,65.746,1691.6310000000003
2005-01-01 07:00:00,15.73,119.007,128.408,498.0,7.667,126.674,128.408,3.386,69.972,21.675,88.889,111.064,16.84,19.142,54.009,26.161,26.532,178.744,63.501,68.943,1772.7519999999995
2005-01-01 08:00:00,17.13,130.421,140.724,563.0,8.415,138.836,140.724,3.745,67.242,22.223,95.589,121.224,18.349,20.439,57.161,28.044,27.655,190.109,69.153,72.916,1933.099
2005-01-01 09:00:00,16.643,137.037,147.863,624.0,8.36,145.397,147.863,4.029,65.625,22.281,99.089,126.863,19.707,21.517,57.247,28.006,28.26,192.528,71.724,75.716,2039.755
2005-01-01 10:00:00,15.844,141.569,152.754,598.0,8.3,149.87,152.754,4.163,65.079,22.084,99.091,127.577,19.933,21.25,55.341,27.106,28.12,186.003,69.687,76.983,2021.508
2005-01-01 11:00:00,14.77,138.684,149.641,572.0,7.864,146.548,149.641,4.184,64.638,20.986,95.113,124.315,19.691,19.808,52.382,25.03,26.868,176.678,66.188,75.473,1950.502
2005-01-01 12:00:00,13.955,133.708,144.272,550.0,7.412,141.12,144.272,4.084,64.638,20.048,89.485,117.723,19.281,17.652,50.09,23.463,26.158,166.931,62.109,72.521,1868.922
2005-01-01 13:00:00,13.242,128.795,138.97,522.0,6.858,135.653,138.97,3.987,53.508,19.082,84.042,111.425,18.32,15.987,47.397,21.935,25.133,158.221,58.15,69.3,1770.975
2005-01-01 14:00:00,12.678,124.491,134.327,506.0,6.426,130.917,134.327,3.777,50.694,18.463,80.291,105.807,17.752,14.869,46.091,20.535,24.574,151.026,55.295,66.808,1705.148
2005-01-01 15:00:00,12.205,122.308,131.97,475.0,6.298,128.606,131.97,3.695,49.665,17.989,78.329,102.704,17.476,14.247,45.566,20.154,23.984,148.134,54.127,66.213,1650.64
2005-01-01 16:00:00,12.766,127.711,137.8,523.0,6.673,134.384,137.8,3.802,52.038,18.613,81.676,106.798,18.132,15.048,47.124,21.505,24.846,154.985,56.176,68.842,1749.719
