serialanon,fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph1819,FPGAP_LILEE_UNEQ,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler,WallType,tenure4x,Loftins,EPC,SAP12,hhcompx,Ageyng,Ageold,Hhsize,ethhrp2x,Hhsick,Unoc,emphrp3x,ECO_AW,FloorArea,gorehs,HTHG,WHDBroad,FPGAP_LILEE,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,fpflgb,fpflgf,FullincDeciles
18190000045,0,17387,17387,1140.19,1,4,2,2,2957,0,1,4,2,60.1,4,5,1,1,1,5,1,1,2,2,60.11,2,7,6,2,1,2,0,3,3,1,4,0,1,0,0,18687,118.69,544.79,431.99,44.72,0,0,3
18190000061,0,42816,57216,1635.19,1,9,1,1,2701,0,1,4,2,60.55,4,3,1,1,1,4,1,1,3,2,60.55,2,6,5,2,1,1,1,3,3,5,6,0,0,0,14400,59401,114.3,812.53,666.8,41.56,0,0,9
18190000161,0,51848.33333,78418,1808.14,1.07,10,1,88,1327,0,0,4,3,52.88,3,2,0,1,3,1,2,1,3,3,52.88,3,2,3,3,1,2,0,1,3,4,9,0,0,0,16200,80036,263.34,846.29,630.36,68.15,0,0,10
18190000165,1,10536,10536,1439.17,1,2,3,3,5350,264.2957193,1,1,2,57.15,1,5,1,1,1,5,1,1,2,2,57.15,2,5,5,2,1,1,0,3,3,3,10,1,1,264.2957193,0,11411,59.19,748.54,589,42.44,1,1,1
18190000181,0,22499,30507,689.93,1,5,3,3,574,0,1,3,1,72.64,6,5,1,1,1,5,2,4,1,1,72.64,1,5,4,2,1,1,0,1,4,1,10,0,0,0,3796,31483,104.45,188.58,354.46,42.44,0,0,6
18190000199,0,100000,100000,2668.6,1,10,1,88,4530,0,0,4,2,55.54,4,2,0,1,2,-9,2,1,3,2,55.54,1,5,3,2,1,2,1,1,3,5,5,0,0,0,0,100000,318.91,1577.5,715.23,56.96,0,0,10
18190000204,0,46817.24138,27154,1529.83,0.82,9,1,1,2622,0,0,4,3,48.63,2,1,1,1,1,1,4,1,3,3,48.63,7,6,5,1,1,2,1,1,3,5,1,0,0,0,0,28390,165.4,880.89,448.2,35.34,0,0,5
18190000244,0,6544.827586,7446,606.44,0.82,1,3,3,1301,0,1,2,1,77.88,5,6,1,1,1,5,1,4,1,1,77.88,6,5,4,1,1,1,0,2,2,1,5,0,1,0,3650,3796,82.59,195.36,295.08,33.41,1,0,1
18190000259,0,25946.25,52314,1378.36,1.32,6,1,1,1976,0,1,3,1,78.39,4,9,1,1,1,5,1,1,3,1,78.39,3,1,3,5,1,2,0,1,3,5,1,0,0,0,10800,54077,171.15,356.26,791.87,59.08,0,0,9
18190000342,0,22480.76923,23535,1092.91,1,5,1,1,482,0,0,4,2,68.1,5,5,1,1,1,4,2,3,3,2,68.1,4,3,3,2,2,2,0,1,4,3,9,0,0,0,6000,24789,96.84,399.34,553.91,42.82,0,0,4
18190000362,1,13954,22114,1068.19,1,3,1,1,1890,32.58662708,1,1,2,66.99,1,5,1,1,1,5,3,4,3,2,66.99,2,7,6,2,1,1,0,3,4,2,10,0,0,32.58662708,8160,23520,115.73,435.13,473.3,44.03,0,0,4
18190000383,1,6400,15432,1453.64,1.07,1,3,88,1290,245.3479739,0,1,2,55.31,1,9,0,2,2,-9,2,4,3,2,55.31,3,3,4,3,1,1,0,1,2,3,8,0,0,229.2971719,6344,16159,246.91,647.1,500.56,59.07,0,0,2
18190000384,0,22226.63043,45457,1669.12,1.21,5,2,1,2712,0,1,4,2,68.26,2,4,1,1,1,3,1,1,3,2,68.25,2,5,5,4,1,2,0,1,3,4,1,0,0,0,4560,46632,175.74,644.47,792.63,56.28,0,0,8
18190000420,0,32653.25203,87347,1610.1,1.32,8,1,1,1227,0,1,4,2,62.96,1,5,1,1,1,5,4,4,2,2,62.96,5,1,4,5,2,2,0,1,4,3,8,0,0,0,7020,88630,221.28,567.12,754.32,67.38,0,0,10
18190000452,0,71233.80282,100000,2544.69,1.07,10,1,1,1824,0,0,4,2,66.96,4,8,1,1,1,1,2,1,3,2,66.97,2,5,5,3,2,2,1,1,3,5,9,0,0,0,0,100000,161.35,1382,952.36,48.98,0,0,10
18190000459,0,8325.76924,20768,1094.71,1.21,1,3,3,1199,0,0,2,1,74.61,5,5,1,1,1,5,4,3,2,1,74.61,1,4,3,4,1,2,0,1,4,3,8,0,0,0,5448.584598,21810,160.31,280.99,603.02,50.39,0,0,4
18190000489,0,26496,26496,2155.73,1,7,1,1,1325,0,1,4,3,47.35,1,2,0,1,3,5,4,1,3,3,47.35,2,6,5,2,1,2,1,3,3,5,4,0,0,0,0,28140,246.94,1197.23,653.81,57.75,0,0,5
18190000497,0,8904.423077,18874,1216.29,1.32,1,1,1,602,0,0,2,1,73.19,2,6,1,1,1,5,1,4,3,1,73.19,3,2,3,5,1,2,0,1,4,3,2,0,0,0,4626.923077,19995,165.37,331.09,659.71,60.12,0,0,3
18190000500,0,12463.39869,38138,2569.14,1.32,2,2,2,2956,0,1,2,1,73.49,3,5,1,1,1,5,3,1,3,1,73.49,3,1,3,5,2,1,0,1,3,5,8,1,0,0,0,39259,141.16,752.91,1583.71,91.36,0,0,7
18190000531,0,9324.137931,11440,755.84,0.82,2,3,3,2169,0,0,2,1,72.07,5,5,1,1,1,5,4,3,1,1,72.07,6,5,3,1,1,2,0,2,4,2,8,0,1,0,6032,5720,81.97,316.93,323.43,33.51,1,0,1
18190000608,0,49231.03448,35754,747.31,0.82,10,2,2,548,0,0,3,1,78.8,5,9,1,1,1,5,1,2,1,1,78.8,6,5,2,1,1,2,0,1,3,2,5,0,0,0,7200,36876,91.01,243.28,375.29,37.73,0,0,7
18190000754,0,21270.68966,20737,1140.56,0.82,5,1,88,1587,0,0,4,3,45.97,1,9,0,3,2,-9,1,2,3,3,45.97,6,5,4,1,1,2,0,1,3,1,9,0,0,0,8400,21727,266.86,539.33,283.26,51.11,0,0,4
18190000846,0,28193.82716,56114,1727.22,1.21,7,1,1,2063,0,0,4,2,62.63,4,9,1,1,1,1,1,1,3,2,62.62,3,3,4,4,1,2,0,1,3,5,10,0,0,0,10440,58500,247.14,649.64,773.75,56.69,0,0,9
18190000849,0,90010,98002,1229.6,1,10,1,1,1115,0,0,4,2,62.28,2,3,1,1,1,5,4,1,3,2,62.28,1,5,2,2,1,2,1,1,3,4,2,0,0,0,7992,99377,117.17,530.78,539.64,42.01,0,0,10
18190000852,0,15221.12676,25670,1240.93,1.07,3,1,1,288,0,0,2,1,71.93,2,7,1,1,1,5,1,3,3,1,71.93,1,5,4,3,1,2,0,2,4,4,4,0,0,0,4056,26843,69.65,449.22,675.19,46.87,0,0,5
18190000911,0,17616,24576,1184.01,1,4,1,1,1855,0,0,3,1,75.07,3,9,1,1,1,4,1,1,3,1,75.07,1,5,2,2,1,2,1,1,3,5,2,0,0,0,6960,26299,136.85,358.69,646.46,42.01,0,0,5
